"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 28 14:34:08 MSK 2021","Thu Oct 28 14:34:13 MSK 2021","4540","","Watches Page","","Watches Page","should contain link on banner button and verify the new url","should contain link on banner button and verify the new url",""
"passed","Thu Oct 28 14:34:09 MSK 2021","Thu Oct 28 14:34:09 MSK 2021","100","","Watches Page","","Watches Page","should contain link on banner button and verify its clickable","should contain link on banner button and verify its clickable",""
"passed","Thu Oct 28 14:34:09 MSK 2021","Thu Oct 28 14:34:09 MSK 2021","47","","Watches Page","","Watches Page","should show the banner title","should show the banner title",""
"passed","Thu Oct 28 14:34:04 MSK 2021","Thu Oct 28 14:34:09 MSK 2021","4930","","Watches Page","","Watches Page","should show the banner container","should show the banner container",""
"passed","Thu Oct 28 14:34:08 MSK 2021","Thu Oct 28 14:34:08 MSK 2021","262","","Watches Page","","Watches Page","should contain link on banner button and verify its clickable","should contain link on banner button and verify its clickable",""
"passed","Thu Oct 28 14:34:00 MSK 2021","Thu Oct 28 14:34:06 MSK 2021","6014","","Product Search","","Product Search","should open the main url and verify the title","should open the main url and verify the title",""
"passed","Thu Oct 28 14:34:23 MSK 2021","Thu Oct 28 14:34:23 MSK 2021","107","","Product Search","","Product Search","should update the search category","should update the search category",""
"passed","Thu Oct 28 14:34:08 MSK 2021","Thu Oct 28 14:34:11 MSK 2021","2912","","Product Search","","Product Search","should search for a product and verify the search text value","should search for a product and verify the search text value",""
"failed","Thu Oct 28 14:34:11 MSK 2021","Thu Oct 28 14:34:22 MSK 2021","10718","","Product Search","","Product Search","should redirect to a new page and verify the title","should redirect to a new page and verify the title",""
"passed","Thu Oct 28 14:34:05 MSK 2021","Thu Oct 28 14:34:08 MSK 2021","2784","","Product Search","","Product Search","should open the main url and verify the title","should open the main url and verify the title",""
"passed","Thu Oct 28 14:34:00 MSK 2021","Thu Oct 28 14:34:08 MSK 2021","7882","","Watches Page","","Watches Page","should show the banner container","should show the banner container",""
"failed","Thu Oct 28 14:34:12 MSK 2021","Thu Oct 28 14:34:23 MSK 2021","10831","","Product Search","","Product Search","should redirect to a new page and verify the title","should redirect to a new page and verify the title",""
"passed","Thu Oct 28 14:34:08 MSK 2021","Thu Oct 28 14:34:08 MSK 2021","217","","Watches Page","","Watches Page","should show the banner title","should show the banner title",""
"passed","Thu Oct 28 14:34:09 MSK 2021","Thu Oct 28 14:34:09 MSK 2021","205","","Watches Page","","Watches Page","should contain link on banner button and verify the new url","should contain link on banner button and verify the new url",""
"passed","Thu Oct 28 14:34:22 MSK 2021","Thu Oct 28 14:34:22 MSK 2021","64","","Product Search","","Product Search","should update the search category","should update the search category",""
"passed","Thu Oct 28 14:34:06 MSK 2021","Thu Oct 28 14:34:12 MSK 2021","6469","","Product Search","","Product Search","should search for a product and verify the search text value","should search for a product and verify the search text value",""
